Generation,MaxFitness,MinFitness,AvgFitness,SurvivalRate,AvgLifeTime,WeightVariance
0,485.052,298.743,314.571,0,42.36,0.330013
1,452.509,298.797,314.002,0,98.97,0.331175
2,449.686,296.991,324.727,0,124.76,0.339959
3,441.323,298.388,309.006,0,34.5,0.34848
4,574.574,294.428,330.973,0,107.15,0.332389
5,559.86,298.168,329.916,0,1,0.333263
6,560.927,300.087,329.112,0,119.29,0.34114
7,569.723,299.884,343.605,0,1,0.345963
8,325.002,298.979,305.848,0,109.61,0.348734
9,457.65,300.094,322.655,0,1,0.349073
10,445,297.779,313.248,0,26.56,0.354015
11,379.825,299.918,309.692,0,23.16,0.342084
12,587.539,300.024,315.422,0,61.87,0.366296
13,745.948,300.147,345.575,0,49.51,0.374047
14,756.287,300.153,360.578,0,107.09,0.372197
15,711.859,300.436,407.769,0,158.98,0.374133
16,590.959,300.039,398.106,0,16.26,0.376445
17,351.311,299.987,303.912,0,18.83,0.393853
18,336.773,299.936,308.846,0,60.99,0.392794
19,572.52,300.155,357.652,0,82.33,0.397666
20,736.431,300.07,368.086,0,94.86,0.406422
21,582.223,300.069,374.442,0,41.77,0.409221
22,765.66,300.109,359.381,0,95.99,0.401375
23,607.992,304.347,442.722,0,61.17,0.408153
24,459.865,300.299,354.606,0,91.45,0.403174
25,565.898,301.487,335.323,0,101.3,0.393184
26,858.022,302.779,425.231,0,155.3,0.410495
27,1106.13,301.03,699.699,0,103.83,0.400463
28,743.773,302.525,617.853,0,233.53,0.392755
29,832.754,306.092,581.383,0,188.05,0.386192
30,745.432,302.452,493.387,0,106.4,0.392228
31,756.079,301.669,493.308,0,273.08,0.386151
32,1020.38,305.12,614.919,0,211.12,0.38211
33,593.472,308.611,450.172,0,151.48,0.396228
34,737.703,304.035,602.313,0,338.95,0.408881
35,578.312,303.465,440.31,0,7.12,0.42968
36,725.125,306.788,582.608,0,275.99,0.423574
37,735.272,300.707,484.212,0,245.37,0.446655
38,459.641,300.719,392.253,0,92.9,0.434829
39,591.398,313.781,444.101,0,321.38,0.442563
40,855.273,300.532,580.918,0,193.41,0.447958
41,870.689,302.679,602.284,0,45.18,0.452215
42,739.466,301.152,459.869,0,169.71,0.472881
43,743.284,301.776,546.086,0,257.84,0.486275
44,596.681,301.23,436.717,0,89.81,0.492061
45,733.789,302.634,394.734,0,1,0.486717
46,992.954,302.457,460.804,0,172.67,0.485599
47,713.683,300.224,393.596,0,5.39,0.458152
48,742.266,300.921,514.151,0,94.97,0.461057
49,1205.82,303.228,586.146,0,381.78,0.464991
50,613.073,300.088,450.588,0,1,0.456491
51,735.147,300.082,435.32,0,356.01,0.445631
52,1039.2,300.249,543.119,0,225.5,0.462036
53,581.966,300.053,347.119,0,1,0.464334
54,446.63,300.82,408.327,0,308.59,0.471794
55,591.809,301.651,409.807,0,31.01,0.469126
56,451.166,300.26,340.129,0,124.62,0.454817
57,449.861,301.279,334.853,0,105.72,0.463713
58,580.597,300.127,349.37,0,82.93,0.479931
59,888.403,302.544,466.119,0,125.08,0.470889
60,875.088,304.922,608.134,0,368.21,0.466183
61,1341.34,300.171,599.945,0.01,382.85,0.464001
62,1258.73,302.277,568.82,0,94.71,0.462501
63,617.923,300.198,342.434,0,141.22,0.47372
64,782.98,300.137,564.485,0,529.11,0.487496
65,1318.48,300.846,630.612,0.01,278.19,0.476042
66,1465.89,304.44,704.029,0,534.52,0.480533
67,1283.55,300.916,501.927,0,1,0.477835
68,728.437,300.777,378.663,0,186.1,0.477365
69,1282,301.348,703.934,0.02,522.77,0.486214
70,1576.36,300.185,670.067,0,63.78,0.493188
71,1017.7,300.065,541.782,0,505.31,0.494314
72,1278.79,300.161,726.315,0,132.57,0.50417
73,610.775,301.499,472.91,0,482.22,0.513768
74,735.638,301.845,510.059,0,98.81,0.517863
75,712.897,300.488,417.765,0,291.77,0.52207
76,1097.31,308.211,670.344,0,130.43,0.515273
77,966.29,304.107,592.589,0.01,491.87,0.527626
78,727.133,300.048,500.038,0,1,0.530087
79,979.213,300.095,355.5,0,173.18,0.53586
80,1133.32,300.232,582.222,0,539.2,0.550804
81,868.653,300.463,558.76,0,299.66,0.56527
82,758.385,302.295,502.198,0,447.02,0.557165
83,592.31,300.493,415.653,0,16.21,0.552822
84,984.695,300.807,460.04,0,566.89,0.549965
85,1227.78,301.435,583.063,0.01,380.02,0.55598
86,865.974,301.575,513.431,0,1,0.551832
87,563.43,300.043,346.447,0,1.03,0.548264
88,581.178,300.901,454.163,0,1,0.53803
89,466.618,300.121,337.298,0,190.67,0.538554
90,886.189,301.353,452.478,0,180.18,0.536757
91,1158.91,301.055,544.058,0,75.27,0.539123
92,1312.74,300.118,446.341,0,2.61,0.549582
93,432.633,300.008,312.361,0,59.1,0.557581
94,847.051,300.493,404.102,0,1,0.561385
95,867.982,301.521,489.888,0,146.36,0.560003
96,579.884,300.129,362.876,0,61.02,0.557357
97,1133.59,300.051,555.834,0,44,0.565691
98,584.078,300.114,357.319,0,207.25,0.572758
99,454.479,300.074,323.353,0,48.33,0.575184
